PET,MaxT,MeanT,MinT,DewPointC,MeanDew,MinDew,MaxHum,MeanHum,MinHum,MaxSea,MeanSea,MinSea,MaxVisi,MeanVisi,MinVisi,MaxWind,MeanWind,MaxGust,Precipi,CloudCover,Events,Wind
01-01-15,31,27,22,24,23,22,94,84,62,1017,1012,1007,10,9,5,14,5,,0.00,5,Fog-Rain,344
02-01-15,32,27,23,24,23,22,94,85,56,1018,1012,1008,10,8,0,32,8,,0.00,7,Rain,274
03-01-15,27,25,23,24,23,22,95,91,72,1018,1013,1010,10,9,1,16,6,,0.76,6,Rain,192
04-01-15,31,26,22,24,22,22,100,87,65,1018,1013,1010,10,8,1,13,6,,0.00,6,Fog-Rain,246
05-01-15,29,26,23,24,23,22,94,89,67,1018,1013,1010,10,8,0,26,8,47,0.00,6,Rain,221
06-01-15,28,24,21,23,22,21,96,90,73,1018,1014,1011,10,8,1,13,6,,0.00,7,Rain,105
07-01-15,28,26,22,23,23,22,94,88,71,1018,1013,1009,10,9,5,13,3,,0.00,6,Fog-Rain,347
08-01-15,28,26,22,24,22,22,94,87,65,1025,1013,1009,10,9,2,13,6,,0.00,7,Rain,216
09-01-15,29,26,22,23,22,22,94,89,74,1019,1014,1010,10,8,1,10,2,,0.00,6,Rain,218
10-01-15,29,26,22,24,22,21,94,89,63,1019,1013,1011,10,8,1,13,3,,0.00,7,Fog-Rain,234
11-01-15,33,28,23,24,23,22,94,86,59,1018,1013,1008,27,9,0,111,3,,0.00,6,Fog,235
12-01-15,29,26,22,24,23,21,96,88,70,1019,1013,1008,10,9,3,167,6,,0.00,6,Rain,197
13-01-15,32,27,22,25,23,22,95,86,60,1018,1012,1008,10,10,8,10,3,,0.00,5,,240
14-01-15,33,28,24,24,23,22,94,81,49,1017,1012,1008,10,9,6,19,6,,0.00,5,Rain,62
15-01-15,32,27,22,24,23,22,96,83,54,1017,1012,1008,10,9,8,13,3,,0.00,4,Thunderstorm,268
16-01-15,32,28,23,25,23,22,97,88,60,1018,1012,1008,10,9,4,26,3,,0.00,5,Rain-Thunderstorm,80
17-01-15,34,28,22,24,23,22,96,79,49,1016,1011,1006,10,9,3,19,3,,0.00,4,Fog-Thunderstorm,280
18-01-15,30,26,22,24,23,22,94,86,68,1017,1012,1008,10,9,5,21,10,,0.00,6,Rain,33
19-01-15,33,28,23,24,23,22,100,84,49,1017,1012,1007,10,9,0,19,3,,0.00,5,Fog,184
20-01-15,30,27,23,24,23,23,94,87,59,1017,1011,1007,10,9,2,13,5,,0.00,6,Rain,1
21-01-15,29,26,23,23,23,22,95,91,74,1018,1013,1009,10,7,1,13,3,,0.00,8,Rain,142
22-01-15,31,26,22,24,22,21,95,90,70,1019,1013,1009,10,7,0,35,5,53,0.00,6,Fog-Rain,242
23-01-15,31,27,22,23,22,21,94,87,62,1018,1012,1008,10,9,5,26,3,,0.00,6,Rain-Thunderstorm,250
24-01-15,31,27,22,24,23,22,97,89,70,1016,1012,1008,10,9,1,111,6,37,0.00,5,Rain,310
25-01-15,32,28,23,25,23,22,100,87,58,1016,1011,1006,10,7,0,21,3,40,0.00,5,Fog,1
26-01-15,33,28,23,24,23,22,97,84,55,1015,1010,1006,10,9,5,23,5,,0.00,6,Fog,1
27-01-15,30,27,23,24,23,22,95,89,74,1016,1011,1008,10,9,6,13,3,,0.00,6,Fog-Rain-Thunderstorm,42
28-01-15,31,27,22,24,23,22,94,87,62,1014,1011,1006,10,8,0,13,5,,0.00,6,Fog,166
29-01-15,30,27,23,24,23,22,95,91,65,1015,1011,1009,10,9,8,8,2,,0.00,3,Fog,200
30-01-15,29,26,22,24,23,22,94,88,72,1017,1012,1009,10,9,5,13,6,,0.00,7,Rain,136
31-01-15,32,27,22,24,23,22,97,85,62,1018,1013,1010,10,9,2,19,6,,0.00,6,Fog-Rain,255
01-02-15,31,27,22,24,23,22,95,86,52,1019,1013,1010,10,10,8,10,5,,0.00,5,Fog,241
02-02-15,30,26,22,24,22,21,94,88,59,1019,1013,1011,10,9,1,34,6,42,0.00,6,Rain-Thunderstorm,218
03-02-15,32,27,22,24,22,21,94,85,54,1020,1013,1009,10,8,1,27,5,,0.00,6,Fog-Rain,262
04-02-15,32,26,21,24,23,21,94,83,47,1017,1011,1007,10,9,0,16,5,,0.00,5,Fog-Rain,339
05-02-15,31,27,23,24,23,22,94,84,59,1016,1011,1007,10,9,8,13,8,,0.00,6,,281
06-02-15,32,28,23,24,23,22,96,82,62,1016,1011,1006,10,10,7,10,3,,0.00, 4,Fog,291
07-02-15,34,28,22,25,23,21,94,81,52,1014,1009,1005,10,9,6,14,6,,0.00,5,Fog-Rain-Thunderstorm,345
08-02-15,33,28,24,25,23,23,95,86,55,1015,1010,1005,10,9,3,24,2,39,0.00,6,Fog-Rain,42
09-02-15,32,27,22,24,23,22,94,85,60,1016,1010,1006,10,9,2,19,6,,0.00,6,Rain-Thunderstorm,50
10-02-15,32,27,23,25,24,22,95,86,54,1015,1010,1006,10,7,0,16,2,,0.00,5,Fog,56
11-02-15,32,28,24,25,24,22,99,85,55,1017,1011,1006,27,9,2,111,6,,0.00,6,Fog-Rain-Snow-Thunderstorm,143
12-02-15,32,27,22,25,23,22,100,88,59,1018,1012,1008,10,8,1,19,6,,0.00,6,Fog-Rain-Thunderstorm,158
13-02-15,32,28,23,25,23,22,96,86,63,1019,1013,1009,10,8,0,21,5,,0.00,6,Fog-Rain-Thunderstorm,282
14-02-15,30,27,23,23,23,22,96,87,70,1018,1013,1009,10,9,7,13,5,,0.00,7,Fog-Rain-Thunderstorm,346
15-02-15,32,28,24,24,23,23,94,82,53,1017,1012,1007,10,10,8,10,6,,0.00,6,Rain-Thunderstorm,260
16-02-15,31,27,23,25, 23,22,100,86,59,1018,1012,1007,10,9,3,19,6,,0.00,6,Rain-Thunderstorm,321
17-02-15,32,28,24,26,24,23,94,86,62,1018,1011,1007,10,10,8,10,3,,0.00,6,Rain-Thunderstorm,327
18-02-15,34,29,23,25,24,23,100,81,54,1015,1009,1005,10,9,1,14,5,,0.00,4,Fog,26
19-02-15,34,28,23,26,24,23,94,76,51,1012,1007,1004,10,10,10,16,6,,0.00,4,,24
20-02-15,34,29,23,26,24,23,100,80,49,1012,1007,1004,10,9,5,21,3,,0.00,5,,32
21-02-15,35,30,25,25,24,21,94,75,38,1013,1009,1006,10,9,8,16,5,,0.00,5,Fog,28
22-02-15,32,27,23,25,23,22,94,84,58,1017,1011,1007,10,9,2,26,8,,0.00,5,Rain,144
23-02-15,34,29,24,24,23,22,94,78,49,1015,1011,1006,10,10,10,14,5,,0.00,4,,97
24-02-15,29,26,23,25,24,23,100,88,72,1015,1010,1007,10,8,0,13,3,,0.00,4,Fog,139
25-02-15,31,27,23,24,23,22,94,88,63,1016,1011,1007,10,9,2,29,8,,0.00,6,Fog-Rain-Thunderstorm,156
26-02-15,32,28,23,24,23,22,94,84,58,1016,1011,1006,10,8,3,19,3,,0.00,5,Fog,246
27-02-15,32,27,22,25,23,22,94,86,56,1015,1011,1006,10,8,1,24,6,,0.00,6,Fog-Rain-Thunderstorm,341
28-02-15,31,27,23,24,23,22,94,83,57,1018,1012,1008,10,9,5,14,6,,0.00,6,Fog-Rain-Thunderstorm,98
01-03-15,27,24,22,24,22,21,94,89,68,1019,1013,1007,10,9,3,24,5,,0.00,6,Fog-Rain,52
02-03-15,34,28,22,24,23,21,94,82,47,1016,1010,1005,10,9,0,16,3,,0.00,6,Fog-Rain-Thunderstorm,342
03-03-15,33,28,23,25,24,22,95,82,59,1015,1010,1005,10,10,8,14,5,,0.00,5,Rain,359
04-03-15,33,28,23,25,23,22,95,84,52,1015,1009,1005,10,9,6,23,3,,0.00,4,,44
05-03-15,27,25,23,24,23,23,100,93,86,1015,1011,1007,10,8,4,18,5,,0.00,6,Rain-Thunderstorm,29
06-03-15,30,26,22,24,23,22,94,86,66,1016,1011,1006,10,9,4,10,3,,0.00,5,Fog-Rain,166
07-03-15,27,25,23,24,23,22,96,91,74,1016,1012,1008,10,8,0,16,5,37, 0.00,6,Rain,21
08-03-15,32,27,22,25,23,21,95,86,59,1016,1010,1006,10,9,3,16,6,,0.00,5,Fog-Rain,245
09-03-15,31,27,23,25,24,23,95,88,70,1016,1010,1006,10,9,5,16,5,,0.00,5,Rain,237
10-03-15,33,28,23,26,24,23,95,85,59,1015,1010,1006,10,8,2,19,8,,0.00,6,Rain-Thunderstorm,274
11-03-15,30,26,22,24,23,22,94,91,74,1017,1012,1008,10,7,1,13,6,,0.00,7,Rain,254
12-03-15,31,27,23,24,23,21,96,87,66,1017,1011,1006,10,9,1,119,5,,0.00,6,Fog-Rain,257
13-03-15,32,28,23,25,24,23,96,84,56,1015,1009,1004,10,10,5,16,3,,0.00,4,Rain,5
14-03-15,31,27,22,24,23,22,94,84,55,1015,1009,1004,10,9,7,16,6,,0.00,5,Rain,42
15-03-15,29,26,23,25,23,23,100,91,78,1017,1010,1007,10,7,0,16,6,,0.00,6,Rain-Thunderstorm,265
16-03-15,30,27,23,24,24,23,100,86,64,1017,1011,1008,10,9,8,13,6,,0.00,6,Rain,193
17-03-15,32,28,23,25,24,22,94,88,55,1016,1011,1006,10,9,2,11,3,,0.00,6,Fog-Rain,299
18-03-15,28,26,24,24,23,23,94,89,73,1016,1011,1007,10,9,3,14,8,,0.00,7,Rain,39
19-03-15,31,27,23,25,23,13,100,88,30,1017,1011,1008,10,9,0,24,6,,0.00,5,Rain-Thunderstorm,232
20-03-15,30,27,23,25,23,22,100,89,69,1016,1012,1009,10,8,0,21,5,,0.00,7,Fog-Rain-Thunderstorm,341
21-03-15,30,26,22,24,23,22,97,87,65,1018,1012,1008,10,8,0,24,6,,0.00,6,Rain-Thunderstorm,323
22-03-15,30,26,21,24,22,20,94,91,70,1016,1012,1010,10,8,0,34,8,,0.00,8,Fog-Rain-Thunderstorm,312
23-03-15,32,27,21,25,23,21,96,84,56,1019,1013,1009,10,9,8,13,5,,0.00,6,Fog-Rain-Thunderstorm,246
24-03-15,32,27,22,24,23,22,94,86,59,1019,1013,1009,10,9,5,19,5,,0.00,6,Rain-Thunderstorm,268
25-03-15,33,28,23,25,23,22,96,84,55,1018,1012,1008,10,9,1,24,5,42,0.00,6,Fog-Rain-Thunderstorm,287
26-03-15,31,27,22,25,23,22,94,85,58,1017,1012,1007,10,9,3,11,5,,0.00,6,,212
27-03-15,34,29,23,25,24,23,94,79,44,1016,1011,1006,10,10,8,21,3,,0.00,4,Fog-Thunderstorm,17
28-03-15,31,27,23,25,24,22,95,88,66,1019,1013,1009,10,8,1,24,10,,0.00,6,Fog-Rain-Thunderstorm,151
29-03-15,32,27,23,24,23,22,97,83,59,1020,1014,1010,10,10,8,14,5,,0.00,5,,208
30-03-15,32,27,23,25,23,22,100,89,62,1016,1012,1010,10,8,0,24,8,,0.00,6,Fog-Rain,19
31-03-15,32,28,23,24,23,22,100,83,53,1018,1012,1008,10,9,5,11,3,,0.00,5,Fog,67
01-04-15,35,29,23,24,23,22,96,81,52,1016,1012,1007,10,10,7,16,3,,0.00,5,Rain,96
02-04-15,27,24,22,24,23,21,100,92,75,1020,1013,1009,10,6,0,16,10,,0.00,7,Rain-Thunderstorm,231
03-04-15,31,27,23,24,23,22,94,84,60,1017,1011,1007,10,10,8,11,5,,0.00,5,,306
04-04-15,33,28,23,24,23,23,95,81,55,1014,1009,1004,10,9,2,16,6,,0.00,5,Rain,21
05-04-15,33,28,23,25,23,22,94,80,45,1014,1009,1004,10,10,8,16,8,,0.00,5,,345
06-04-15,30,26,21,24,23,21,100,89,73,1016,1011,1006,10,8,1,26,8,,0.00,6,Rain,254
07-04-15,32,28,23,24,23,23,95,87,55,1018,1012,1008,10,9,1,14,6,,0.00,6,Rain,191
08-04-15,32,28,23,25,23,22,94,82,54,1016,1010,1007,10,10,10,11,5,,13.97,3,Rain,239
09-04-15,29,27,23,25,23,23,94,90,72,1017,1012,1008,10,9,3,16,5,,0.00,6,Rain,243
10-04-15,32,28,23,24,23,22,95,85,58,1017,1012,1009,10,9,1,29,6,,0.00,5,Rain,135
11-04-15,27,24,23,24,23,22,100,93,87,1019,1014,1011,10,7,1,61,10,0.00,7,Rain,221
12-04-15,31,27,22,25,23,22,95,82,51,1020,1014,1009,10,10,8,10,3,,0.00,5,Fog,261
13-04-15,32,28,24,24,23,23,94,85,62,1019,1014,1009,10,10,8,19,3,,0.00,5,Fog,310
14-04-15,34,28,23,24,23,20,100,81,44,1018,1013,1008,10,9,8,14,5,,0.00,4,Fog,345
15-04-15,31,27,23,24,23,22,100,85,56,1018,1012,1007,10,9,4,27,6,,0.00,5,Rain,1
16-04-15,33,28,24,25,23,22,94,84,61,1017,1012,1007,10,10,8,16,8,34,0.00,5,Rain,16
17-04-15,31,27,23,25,23,23,94,83,54,1017,1012,1007,10,9,8,16,8,,0.00,5,Fog-Rain,26
18-04-15,32,28,23,24,23,21,94,86,46,1018,1013,1011,10,10,8,16,5,,0.00,5,Rain,86
19-04-15,34,29,24,25,24,23,95,83,55,1018,1011,1007,10,9,5,14,5,,0.00,4,Fog-Rain,216
20-04-15,31,27,23,25,24,22,94,83,51,1016,1011,1006,10,9,2,19,6,,0.00,4,Rain-Thunderstorm,314
21-04-15,33,28,23,24,23,22,94,85,61,1017,1012,1008,10,8,1,24,11,,0.00,6,Rain-Thunderstorm,256
22-04-15,29,26,22,24,23,22,94,88,66,1017,1012,1009,10,8,1,124,10,37,0.00,5,Rain-Thunderstorm,230
23-04-15,31,27,22,24,23,22,94,85,59,1019,1013,1008,10,10,8,10,3,,0.00,5,Rain,38
24-04-15,33,28,22,25,24,22,99,86,56,1018,1013,1009,10,9,6,14,6,,0.00,4,Fog,204
25-04-15,32,28,23,24,23,23,96,87,56,1019,1013,1009,10,9,5,24,5,,0.00,5,Fog-Rain-Thunderstorm,348
26-04-15,31,27,23,24,23,22,96,87,64,1019,1013,1008,10,8,1,14,3,,0.00,4,Fog,222
27-04-15,31,27,24,24,23,23,96,88,61,1015,1011,1007,10,9,3,21,3,,0.00,6,Rain,137
28-04-15,31,27,23,24,23,22,95,89,66,1016,1011,1008,10,9,6,14,3,,0.00,5,Rain-Thunderstorm,101
29-04-15,28,26,23,24,23,22,100,92,83,1017,1012,1008,10,8,1,27,6,,0.00,7,Rain,276
30-04-15,26,24,22,23,22,22,97,91,81,1018,1013,1009,10,10,8,13,3,,0.00,6,Fog-Rain,187
01-05-15,32,27,22,24,23,22,100,83,62,1018,1012,1008,10,9,6,11,3,,0.00,5,Fog,13
02-05-15,31,27,23,24,23,22,100,89,57,1015,1010,1006,10,7,0,19,3,,0.00,5,Fog-Rain,239
03-05-15,32,28,23,25,23,22,95,85,62,1015,1010,1006,10,9,5,23,8,40,0.00,5,Rain,31
04-05-15,30,27,23,24,23,22,95,88,71,1018,1012,1009,10,9,4,23,6,,0.00,7,Fog-Rain,351
05-05-15,30,27,24,24,23,23,94,85,54,1020,1013,1009,10,9,5,10,3,,0.00,6,Rain,166
06-05-15,30,27,23,24,23,22,95,85,23,1018,1014,1010,10,9,4,11,3,,0.00,4,Fog,229
07-05-15,29,26,23,24,23,22,100,88,66,1019,1014,1009,10,9,8,10,5,,0.00,7,Fog-Rain,157
08-05-15,31,27,22,24,23,21,94,83,62,1019,1013,1009,10,9,6,14,3,,0.00,4,Rain,125
09-05-15,30,27,23,24,23,23,94,88,68,1019,1013,1009,10,9,3,14,8,,0.00,5,Fog-Rain,307
10-05-15,31,27,23,24,23,22,100,87,58,1018,1013,1009,10,8,1,21,3,35,0.00,6,Fog-Rain,316
11-05-15,32,27,23,25,23,22,97,86,55,1017,1012,1008,10,9,3,10,5,,0.00,5,Fog-Rain,106
12-05-15,29,26,23,25,23,23,100,89,63,1018,1012,1009,10,8,1,16,8,,0.00,5,Rain,175
13-05-15,28,26,23,24,23,22,100,91,70,1018,1013,1009,10,8,4,11,6,,0.00,6,Fog-Rain,182
14-05-15,29,26,22,24,23,22,100,90,70,1018,1013,1010,10,8,0,27,6,4,0.00,6,Fog-Rain,229
15-05-15,29,25,21,24,23,21,100,85,64,1018,1013,1009,10,9,5,13,5,,0.00,5,Fog,214
16-05-15,31,27,23,24,23,23,95,88,70,1020,1014,1011,10,9,5,10,3,,0.00,6,Rain,152
17-05-15,29,26,22,23,22,21,95,81,62,1021,1015,1012,10,10,8,19,8,,0.00,4,Rain,178
18-05-15,30,26,22,24,23,22,100,85,57,1020,1015,1012,10,10,8,13,3,,0.00,4,Fog,247
19-05-15,34,28,22,24,23,22,100,82,51,1019,1013,1010,10,9,0,11,3,,0.00,4,Fog,331
20-05-15,31,27,22,25,24,22,94,86,65,1019,1014,1009,10,9,3,14,6,,0.00,6,Rain,103
21-05-15,32,27,23,25,23,22,95,83,55,1019,1013,1010,10,8,0,14,5,,0.00,5,Fog,268 
22-05-15,34,28,22,25,24,22,100,80,53,1019,1013,1010,10,10,8,10,3,,0.00,4,Fog,20
23-05-15,32,28,23,24,24,23,94,86,57,1020,1014,1010,10,9,5,19,6,,0.00,5,Rain-Thunderstorm,351
24-05-15,32,28,23,24,24,23,100,85,55,1017,1012,1009,10,9,8,14,3,,0.00,5,Fog,287
25-05-15,34,28,23,24,24,23,94,79,53,1017,1012,1008,10,9,5,11,3,,0.00,4,Fog,344
26-05-15,32,28,24,25,23,23,95,86,62,1016,1012,1009,10,8,2,21,8,,0.00,5,Fog-Rain,13
27-05-15,31,27,23,24,23,22,100,85,57,1018,1012,1008,10,9,1,16,6,,0.00,5,Fog-Rain,224
28-05-15,32,27,23,24,23,22,100,85,59,1017,1012,1007,10,9,8,11,5,,0.00,5,Fog-Rain,310
29-05-15,28,25,22,24,23,23,94,91,72,1018,1012,1009,10,8,3,10,6,,0.00,6,Fog-Rain,251
30-05-15,32,28,23,24,23,23,94,88,54,1016,1011,1009,10,8,1,23,3,,0.00,5,Fog-Rain-Thunderstorm,357
31-05-15,33,28,23,24,23,23,94,83,53,1017,1012,1009,10,9,8,10,3,,0.00,5,Fog-Rain-Thunderstorm,7
01-06-15,32,28,23,25,24,22,95,82,60,1018,1013,1009,10,10,8,14,6,,0.00,4,,212
02-06-15,32,28,23,25,23,22,94,84,56,1018,1013,1008,10,7,0,10,3,,0.00,5,Fog,214
03-06-15,31,27,23,24,24,23,100,87,61,1017,1012,1008,10,9,3,13,5,,0.00,6,Rain-Thunderstorm,149
04-06-15,32,28,23,25,24,23,95,82,59,1019,1013,1009,10,10,8,14,5,,0.00,4,,98
05-06-15,32,28,24,24,24,23,96,85,64,1017,1013,1010,10,9,5,14,5,,0.00,3,Fog,132
06-06-15,28,26,23,24,23,22,94,90,72,1018,1013,1009,10,8,2,11,5,,0.00,5,Rain,255
07-06-15,33,27,21,25,23,22,100,82,52,1018,1012,1009,10,9,3,23,5,,0.00,4,Fog-Rain-Thunderstorm,44
08-06-15,32,28,23,24,24,23,100,86,61,1019,1013,1009,10,9,7,10,3,,0.00,5,Fog-Rain,2
09-06-15,30,27,23,24,23,22,97,89,66,1018,1013,1009,10,9,6,19,6,,0.00,5,Rain,309
10-06-15,32,27,22,24,23,22,95,83,56,1016,1012,1008,10,9,8,13,5,,0.00,4,Fog,343
11-06-15,33,28,23,24,23,22,94,81,44,1018,1013,1009,10,9,0,13,6,,0.00,4,Fog-Rain,313
12-06-15,32,27,22,24,23,21,100,84,56,1017,1013,1009,10,10,8,23,8,,0.00,4,Rain-Thunderstorm,42
13-06-15,31,27,22,24,23,23,100,87,65,1018,1013,1009,10,9,1,19,5,,0.00,4,Fog-Rain-Thunderstorm,305
14-06-15,32,27,22,24,23,22,97,82,57,1016,1011,1008,10,9,0,11,2,,0.00,4,Fog,28
15-06-15,34,28,22,24,24,22,95,84,49,1017,1012,1008,10,9,3,19,5,,0.00,4,Fog-Rain,30
16-06-15,32,28,23,24,23,22,100,87,55,1019,1013,1009,10,8,0,16,5,,0.00,5,Fog-Rain,31
17-06-15,32,27,22,24,23,21,100,83,52,1019,1013,1008,10,8,0,10,3,,0.00,4,Fog,182
18-06-15,32,27,22,24,23,22,94,80,54,1018,1013,1010,10,10,7,10,5,,2.03,3,Fog-Rain,36
19-06-15,31,27,23,24,23,22,97,82,51,1019,1014,1010,10,10,8,24,6,,0.00,4,Rain,141
20-06-15,26,23,21,23,21,19,94,83,65,1020,1016,1014,10,9,7,16,8,,0.00,6,Fog-Rain,166
21-06-15,30,26,22,23,22,21,94,81,56,1021,1016,1013,10,9,4,14,5,,0.00,5,,218
22-06-15,32,27,22,23,22,21,94,80,47,1020,1016,1013,10,9,8,19,5,,0.00,5,Fog-Rain,164
23-06-15,29,26,22,24,23,22,94,89,67,1021,1017,1013,10,8,2,13,6,,0.00,6,Fog-Rain,250
24-06-15,28,25,22,24,23,22,95,90,73,1023,1017,1014,10,9,2,13,5,,0.00,5,Rain,106
25-06-15,32,27,22,24,22,22,97,87,58,1021,1016,1012,10,7,0,23,3,48,0.00,4,Fog-Rain,187
26-06-15,32,27,21,24,22,21,100,83,46,1022,1016,1013,10,7,0,13,3,,0.00,4,Fog,198
27-06-15,33,27,21,24,22,21,95,81,49,1022,1016,1013,10,9,3,13,5,,0.00,2,Fog,208
28-06-15,28,24,20,24,22,20,100,89,66,1020,1015,1013,10,7,1,13,5,,0.00,5,Fog-Rain,317
29-06-15,31,26,21,24,22,21,95,82,53,1019,1014,1011,10,9,8,10,5,,0.00,4,Fog,304
;30-06-15,33,28,22,23,23,22,94,80,,,,,,,,,,,,,